texto,calificacion,tipo_lugar,fuente,fecha,lugar,polaridad
"El hotel es muy bonito y la comida del restaurante buena, pero lamentablemente hay habitaciones en las que no se puede dormir por el ruido que hace el mismo personal desde temprano, no respetan, gritan y hacen ruido constante. Se reportó a la recepción y se nos contestó de forma grosera y negativa. Lástima el lugar, pero no saben atender adecuadamente las quejas y solicitudes de los clientes.",3.0,hotel,google_maps,Hace un año,Hotel Las Brumas,neutral
"Excelente servicio del personal del hotel y también del restaurante al costado del mismo. Hay de todas las comodidades, también es muy limpio y ordenado y bien equipado. Esta en un punto equidistante lo cual lo hace muy estratégico para hospedarse por turismo, negocios, trabajo, etc. Además la vista al valle del Guarco es muy bonita. Muy recomendable este lugar.",5.0,hotel,google_maps,Hace un año,Hotel Las Brumas,positiva
"En el hotel de seguro estaban realizando algún trabajo y durante toda la noche y madrugada del segundo día que estuve hospedado fue terrible, en la habitación de la par entraban salían hablaban muy fuerte, malas palabras, carcajadas y al ser el piso de madera era como tenerlos dentro de la misma habitación, durante toda la noche no permitieron dormir.",2.0,hotel,google_maps,Hace 10 meses,Hotel Las Brumas,negativa
"El servicio fue extremadamente deficiente. Mi pareja y yo viajamos largas horas después de consultar con el hotel sobre precios y disponibilidad. Nos ofrecieron una tarifa que consideramos razonable, y decidimos continuar el viaje. Sin embargo, al llegar, la recepcionista nos informó que el precio había aumentado. Nos quejamos porque el precio inicial nos parecía justo, pero tuvimos que buscar otro lugar para hospedarnos debido a la hora tan tardía. Les pido que establezcan tarifas fijas y claras para evitar hacer perder el tiempo de los clientes.",1.0,hotel,google_maps,Hace un año,Hotel Las Brumas,negativa
"Excelente lugar, bastantante limpia la habitación, incluye un buen desayuno y puedes desayunar a la hora desees en fin volvería a ir...",4.0,hotel,google_maps,Hace un año,Hotel Las Brumas,positiva
"Nunca salió agua caliente caliente no se que pasó estaba dañado seguramente por que en otros comentarios decían que si había, y si se escucha mucho ruido de las otras habitaciones por el resto bien la vrd muy bonitas las habitaciones y muy limpias.",2.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,negativa
"Buen hotel con una vista espectacular. El servicio fue siempre bien cordial. Tiene el restaurante para desayunos y cenas al lado. Lo unico es que Los cuartos no tienen aire acondicionado ni calefacción, pero la temperatura en el area es bien agradable. La TV tiene Netflix y otros programas. Muy agradable la estadía.",4.0,hotel,google_maps,Hace 4 años,Hotel Las Brumas,positiva
"El hotel es sencillo pero con las comodidades necesarias. Es el hotel más cercano al Volcán Irazú y demás atractivos de la zona.||El desayuno es bueno, al igual que el servicio.||Las habitaciones limpias y se descansa muy bien.||El restaurante entre semana lo cierran a las 9:15pm ni un minuto después, así que si por algún motivo se llega tarde al hotel, lo ideal sería ir de inmediato al restaurante, para evitar se atendido de mala gana.||Hay un supermercado a 200 metros, lo cual valoré mucho en este viaje porque olvidé algunas cosas de aseo personal.",4.0,hotel,google_maps,Hace 9 años,Hotel Las Brumas,positiva
"Todo limpio, excelente atención al cliente, comida deliciosa, la reserva incluye desayuno qué es 10 de 10. Encantada y deseando volver.",5.0,hotel,google_maps,Hace un año,Hotel Las Brumas,positiva
"Me agrado hospedarme en este hotel. La recepcionista nos recibió muy bien,nos dio la información y la atencion fue muy buena.Las habitaciones ,bien acondicionadas,pero las paredes son de madera,y todos los ruidos pasan de una habitación a otra,haciendo incómodo el tiempo en ella.",3.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,neutral
Las habitaciones no tienen el aislamiento adecuado unas con otras por el material de construcción esto haces que sea poco privado. Si llevas maletas grandes no hay servicio de botones y en el segundo piso debes cargar tus maletas y son más de 15 escaleras,3.0,hotel,google_maps,Hace 3 años,Hotel Las Brumas,neutral
"Las Habitaciones sencillas pero comodas, sin embargo me toco una habitación con tv en mal estado y sumamente pequeño, llame a recepción y la muchacha muy atenta, solo me dijo que el tv esta malo y no podía hacer nada, y NO HICIERON NADA igual que el resto del personal del HOTEL muy gentil,porque el Restaurante todo lo contrario muy poco personal y por eso es tanta la espera para ir a comer y otra fila para ir a pagar, sin embargo la comida es buena. Debes de salir del hotel para ir al restaurante y no tienen servicio en la habitación, y si quieres llevar comida a la habitación en desechables Recalco la recepción un .",3.0,hotel,google_maps,Hace 6 años,Hotel Las Brumas,neutral
Un poco de bulla innecesaria y evitable desde temprano en la mañana. Muy aseada la habitación y con lo necesario. Excelente desayuno en Mi Tierra,4.0,hotel,google_maps,Hace 3 años,Hotel Las Brumas,positiva
"estuve allí por 3 noches, me gusto mucho obviamente no era alguien que buscaba estrellas en el hotel, pero tiene lo necesario, una buena cama, bonita vista, cocina para huespedes, es limpio y da un ambiente de confianza.",4.0,hotel,google_maps,Hace 12 años,Hotel Las Brumas,positiva
"Si lo que espera es descansar bien o pasar una tranquila noche aquí, es lo que menos va a tener.|En este Hotel Las Brumas , no es un hotel apto para familias y mucho menos para niños, como la imagen que intentan vender.|Por las noches se escucha de todo, lo mejor es no visitar ese lugar.",1.0,hotel,google_maps,Hace 3 años,Hotel Las Brumas,negativa
"Este hotel, a pesar de ser un poco costoso creo que le falta mejorar, las habitaciones de terraza son bastante pequeñas y el baño también, las pareces son livianas y se escucha lo que hablan los vecinos de la otra habitación...|Cabe rescatar que tiene buen wifi y el muchacho de la recepción es súper atento y muy servicial.",3.0,hotel,google_maps,Hace 6 años,Hotel Las Brumas,neutral
"En realidad es un hotel que recomiendo; empezando por el aseo, es bastante tranquilo ademas, la vista es realmente bonita, el servicio muy bueno, el restaurante me encantó, iría una vez más con el fin de volver a degustar las comidas...en conclusión, mi pareja y yo la pasamos exquisito",4.0,hotel,google_maps,Hace 11 años,Hotel Las Brumas,positiva
"Mucho ruido a la par de las cabanas... creo que es por no ser la paredes de concreto, las camas hacen mucho guido creo que las camas o los colchones son muy viejos con respecto al resto muy buen servicio y el equipo de limpieza Super atentos.... Gracias de todas formas escribo esto para mejorar ya que es una zona con mucho potencial...... Gracias..",3.0,hotel,google_maps,Hace 4 años,Hotel Las Brumas,neutral
"Bien ubicado para mis visitarás en la zona, habitaciones cómodas y personal amigable;|El desayuno es bueno y muy típico de CR|Y el agua en dulce y las chorreadas son muy buenas ! Cerca de restaurantes y el tiene su propio restaurante también de comida típica!",3.0,hotel,google_maps,Hace 7 años,Hotel Las Brumas,neutral
"El hotel es muy acogedor, cuenta con habitaciones y con cabañas, está en una zona fría, el hotel es rústico, la atención es buena, la comida es deliciosa, los desayunos son deliciosos, las cabañas están equipadas con todo lo necesario para hacer uno mismo sus cosas.",4.0,hotel,google_maps,Hace 10 años,Hotel Las Brumas,positiva
Al reservar nos dieron un precio y al momento del check-in no cobraron otro mucho mas elevado decidimos no hospedarnos,1.0,hotel,google_maps,Hace un año,Hotel Las Brumas,negativa
"Excelente hotel, una hermosa vista. Súper fácil de reservar directamente con ellos o con booking. Todo súper especificado y hasta con desayuno incluido. Súper recomendado",5.0,hotel,google_maps,Hace 5 años,Hotel Las Brumas,positiva
Muy bueno todo excelente lugar para hospedarte trabajando,5.0,hotel,google_maps,Hace un año,Hotel Las Brumas,positiva
"Es un hotel bonito para quedarse en Cartago ó si desea visitar los alrededores.||Tiene un parqueo seguro para los vehículos, instalaciones agradables y lo mejor de todo es que incluye el desayuno en el restaurante Mi Tierra que es realmente delicioso.",4.0,hotel,google_maps,Hace 10 años,Hotel Las Brumas,positiva
Acogedor. Lugar ideal para tener una linda vista de Cartago y hospedarse sin preocupaciones. Cerca está el restaurante mi tierra del cual pueden degustar comidas típicas del país.,5.0,hotel,google_maps,Hace 7 años,Hotel Las Brumas,positiva
"Tranquilo, acogedor, muy buena ubicación para subir al volcán Irazú, los jardines Lancaster y todos los atractivos de la ruta al volcán.",5.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,positiva
La atención muy buena y las habitaciones sencillas pero cómodas... es un punto estratégico para desplazarse a diferentes lugares de Cartago.,4.0,hotel,google_maps,Hace 8 años,Hotel Las Brumas,positiva
"El servicio muy bueno, las muchas de recepción muy amables, estas cerca del centro, buen parqueo, estancia muy pacífica.",5.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,positiva
La atencion de el personal tanto de el hotel como de sus alrededores son impresionantes se siente la calidez humana algo para admirar de la gente de costarrica pura vida,5.0,hotel,google_maps,Hace 9 años,Hotel Las Brumas,positiva
Se come delicioso en el restaurante,5.0,hotel,google_maps,Hace 6 meses,Hotel Las Brumas,positiva
Muy bonitas las habitaciones estilo estudio amplias limpias y muy elegantes,5.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,positiva
"Un hotelito sencillo pero acogedor.||El Hotel las Brumas en Cartago, es acogedor, pero preparate para el frio.||Por su altura es frio en las noches, vas a usar las mantas.||Muy bueno el desayuno en el Restaurante.",4.0,hotel,google_maps,Hace 10 años,Hotel Las Brumas,positiva
Buena atención y servicio. A Habitación limpias Rico desayuno,4.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,positiva
Tiene varios tipos de habitaciones Es muy limpio El personal muy amable Precios accesibles,4.0,hotel,google_maps,Hace 2 años,Hotel Las Brumas,positiva
"Muy buena atención, se preocupan por que uno este bien, el lugar es agradable y tiene una linda vista a la ciudad de Cartago.",5.0,hotel,google_maps,Hace 8 años,Hotel Las Brumas,positiva
Si me encantó. Limpio Buena atención y el Desayuno perfecto.,5.0,hotel,google_maps,Hace 8 años,Hotel Las Brumas,positiva
Un lugar cómodo y tranquilo para descansar cuando se va de paso por Cartago y muy buena atención.,5.0,hotel,google_maps,Hace 8 años,Hotel Las Brumas,positiva
"Las habitaciones que nos dieron eran de paredes que no aíslan el ruido, a la media noche llegaron los vecinos y mucho ruido",3.0,hotel,google_maps,Hace 4 años,Hotel Las Brumas,neutral
"Excelente lugar, buena atención y un parquesito para niños con una vista hermosa.. super recomendado!!",4.0,hotel,google_maps,Hace 4 años,Hotel Las Brumas,positiva
"Excelente habitaciones, buen ambiente y el clima perfecto para descansar",4.0,hotel,google_maps,Hace 5 años,Hotel Las Brumas,positiva
"Muy buen hotel. buena atención, Buena instalación y muy cómodo. Recomendado",5.0,hotel,google_maps,Hace 9 años,Hotel Las Brumas,positiva
"Excelente lugar para hospedarse, muy buen servicio!!!",5.0,hotel,google_maps,Hace 11 años,Hotel Las Brumas,positiva
Es tranquilo. Confortable y cómodo para mas de una persona.,4.0,hotel,google_maps,Hace 10 años,Hotel Las Brumas,positiva
"Excelente atención, precios muy cómodos, habitaciones espaciosas ,en resumen excelente.",5.0,hotel,google_maps,Hace 6 años,Hotel Las Brumas,positiva
"Excelente atención, muy seguro y cerca de lugares turisticos!",5.0,hotel,google_maps,Hace 10 meses,Mi Barrio Hospedaje,positiva
"Mi experiencia no fue la esperada. El glamping que me entregaron no fue el que reservé y, aunque luego accedieron a cambiarnos, como había pagado decoración adicional por un cumpleaños, tuvimos que dejar el espacio completamente limpio y retirar toda la decoración tal y como nos lo solicitaron porque supuestamente tenían otro huésped en espera. Sin embargo, nunca ingresó nadie. Tampoco respetaron el cambio que solicité desde la reservación (sustituir el vino por una sangría). Además, prometieron enviar una pizza como compensación por los inconvenientes y nunca cumplieron, dejándonos sin respuesta. El lugar tiene una vista bonita y buena ubicación, pero en general se percibe algo descuidado y con falta de mantenimiento, lo cual no corresponde al precio que se paga. Ojalá puedan mejorar estos aspectos.",3.0,hotel,google_maps,Hace 5 meses,Tocuma Glamping,neutral
"Por dicha me doy cuenta antes de hospedarme que el servicio al cliente es de lo peor que he visto. Les escribí desde sábado en la noche, yo entiendo que a la hora que les escribí es fuera del horario de servicio. Pero no me respondieron en todo el domingo ni lunes por la mañana. Les vuelvo a escribir preguntando por disponibilidad para una fecha, me responden y me dice que si tienen espacio, a lo que de inmediato les respondo que con cuánto reservo y no me contestan por dos horas. Cuando les digo que el servicio al cliente es malo, me responden que se reserva con el 50% pero que justamente se les acaba de llenar y ya no tienen disponibilidad para la fecha en que inicialmente me dijeron que si tenían espacio unas horas antes. Gracias por esa respuesta, asi me evité el mal rato y la mala experiencia de quedarme en este lugar. Mi recomendación es ver las opiniones sobre servicio al cliente que hablan por si solas, además de la respuesta a las reseñas",1.0,hotel,google_maps,Hace 6 meses,Tocuma Glamping,negativa
"El lugar es muy lindo, está bien equipado y cuidado. Tiene un gran potencial. Sin embargo, el servicio al cliente y la administración no está bien, una vez que se hace el depósito total se desentienden por completo. Tuvimos un problema de música fuerte en el glamping de la par y no tuvimos respuesta por parte de la administración. Tuvimos que irnos a horas de la noche porque era imposible dormir con ese ruido. Al final perdimos la noche, el desayuno y todo el tiempo de traslado teniendo solamente una “disculpa” de lo sucedido al día siguiente a las 10 am.",2.0,hotel,google_maps,Hace 10 meses,Tocuma Glamping,negativa
"Un lugar hermoso y accesible aún para automóviles. La habitación estaba limpia al igual que al baño, y la cocina estaba bien equipada. Los jardines están bien cuidados y además de esto el servicio al cliente fue bueno y disponible a mis inquietudes.",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
"¡Atención! Este lugar no es pet friendly. Tienen dos pastores belga que atacan a otros perros, provocando lesiones graves. Los dueños no se hacen responsables por lo ocurrido. Si estás pensando en hospedarte con tu mascota, te recomendamos buscar otra opción para evitar situaciones peligrosas.",1.0,hotel,google_maps,Hace un año,Tocuma Glamping,negativa
"El mejor lugar que he ido en forma unica de domo, super amigables, son per friendly y ademas tienen un Pastor cuidador y super noble, tengo 2 corgis y un salchicha, mi deber fue preguntar sobre el perro y que lo vi en fotos y me asustó, sin embargo los dueños llegaron e hicimos interaccion, al final mis noches y mis perros fueron y estuvieron increibles. Asumir sin preguntar, es un deber, no un derecho. Excelente lugar 100% recomendado",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
"Excelente lugar, tuve el placer de quedarme un fin de semana y la vista y el lugar fueron increíbles, mega recomendado para ir en pareja y fui con mis perritos que se divergieron un montón. Me gustaría más opciones de desayuno como almuerzo o cena.",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
"El lugar es simplemente hermoso, tiene mucho potencial. Vista hermosa, full equipado. Tiene un sistema de ingreso al lugar muy moderno a partir de claves donde no se necesita que nadie reciba ni despida a las personas. (Cosa buena y no tan buena dada la carencia de comunicación y amenidad por otros medios) Es lamentable que el servicio al cliente sea tan malo. Por esa razón no volvería, fue realmente desgastante tratar de obtener respuestas prontas o seguimiento de las preguntas que realizaba. Por otro lado, tienen un perrito hermoso que cuida la finca, sin embargo nos dimos cuenta hasta que llegamos al lugar y un perro gigante llegó a nuestro glamping. Realmente nos asustamos, nadie nos alertó que había un perro, por más amigable que fuera, nos asustamos. El perro ladró toda la noche y madrugada y fue imposible dormir. No hubo un mensaje o seguimiento de satisfacción de la experiencia por parte de los administradores. El agua del jacuzzi nunca calentó por lo que fue imposible utilizarlo dado que el lugar es realmente frío. Este lugar es una joya, lástima que la administración sea indiferente a temas tan relevantes.",2.0,hotel,google_maps,Hace 2 años,Tocuma Glamping,negativa
"Excelente servicio al cliente, fue bastante rápido y fácil realizar la reservación. La habitación se encontraba impecable y la comida estaba deliciosa. Definitivamente volveremos pronto.",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
I went to visit the place because I wanted to book for couple of days and they didn't allow me to go inside. I went with my newborn and they didn't want to open the gate for us!! Worse place ever! Fui a visitar el lugar porque quería reservar por un par de días y no me dejaron entrar al lugar. Fui con mi bebe recien necido para ver si la habitacion era apta para el (o ver que cosas tengo que llevar conmigo) y no nos quisieron abrir el porton principal para ingresar!!! El peor servicio!!,1.0,hotel,google_maps,Hace un año,Tocuma Glamping,negativa
"Recomiendo este lugar a ojos cerrados, la vista, la tranquilidad, las instalaciones, la privacidad, el desayuno que incluyen muy rico . Hace mucho frío en la noche, si usan el jacuzzi en la noche prepárense para sufrir cuando vayan a salir porque el frío es demasiado. Recomiendo llevar ropa caliente para la noche pero fresca para el día que si hace calor. Vale cada centavo",5.0,hotel,google_maps,Hace 2 años,Tocuma Glamping,positiva
"Una excelente opción para salir de la rutina y muy cerca de San José, las instalaciones son super bonitas y muy cuidadas, hay mucha privacidad, perfecto para descansar y desconectarse del estrés diario.",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
"Excelente experiencia, tanto el proceso de reserva como la estancia, lo disfrutamos mucho, tanto el servicio como el lugar, 100% recomendado para una escapada con la pareja en un ambiente tranquilo y relajado.",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
"Es una empresa con falta de seriedad, uno pone un mensaje y duran en contestar o hasta te dejan en visto, después que se a cancelado parte del servicio. Aparte que con certificado médico, y con fotos de que no se podía asistir a la reservación y aun así no quisieron ni devolver el dinero o aplazar la reservación.",1.0,hotel,google_maps,Hace 2 años,Tocuma Glamping,negativa
"Total basura, pésimo servicio al cliente, solo les gusta recibir el dinero pero no brindar soluciones, imposible obtener una respuesta de parte de ellos, ofrecen re agendamiento que no cumplen, esperan a que llegue la fecha acordada desde el inicio y se quedan con el dinero. El anfitrión es imposible de contactar y para todo pone a dar la cara a la de servicio al cliente que ni siquiera ayuda en nada. “La comarca Glamping Dome“ mucho mejor.",1.0,hotel,google_maps,Hace 2 años,Tocuma Glamping,negativa
"Decepcionante y poco empáticos con las situaciones de los demás, tratamos de reagendar por un accidente que sufrió un familiar y nos dejaron en visto, perdimos más de 200.000 colones, osea, todo el dinero de la reservación por no querer reagendarnos, consultamos igual si tenían las instalaciones acceso para discapacitados porque mi familiar está con un yeso en la pierna y nos ignoraron por completo, SON UN ASCO DE EMPRESA, CUIDADO CON ESTAS RATAS!!!!",1.0,hotel,google_maps,Hace 2 años,Tocuma Glamping,negativa
"Una vista espectacular, el lugar es privado, excelente clima y bien servicio al cliente Super recomendado",5.0,hotel,google_maps,Hace un año,Tocuma Glamping,positiva
"Son unos ladrones, nos dejaron en visto cuando tratamos de reagendar por un accidente familiar, nos ofrecieron el cambio de fechas y aun así dejaron de contestar, perdimos todo el total del dinero de la reservacion, además solo hay un número de WhatsApp y nunca contestan, CUIDADO CON ESTOS LADRONES!!!",1.0,hotel,google_maps,Hace 2 años,Tocuma Glamping,negativa
Buena opción para pasar la noche y luego seguir su camino. Las muchachas muy atentas a cualquier solicitud. Una de las duchas estaba dañada pero la arreglaron durante el día.,4.0,hotel,google_maps,Hace 10 meses,Hotel Los Angeles Lodge,positiva
"Confiamos en la guía de Lonely Planet, que de ella decía: ""este aceptable b&b con balcones que dan a la plaza de la basílica, destaca por sus cómodas y espaciosas habitaciones, sus duchas de agua caliente y sus copiosos desayunos"".||||En nuestro caso, nos cogió una fuerte tormenta y se nos hizo de noche en carretera. Nos tuvo que ayudar la policía para encontrar este lugar porque si no nos hubiera tocado dormir dentro del coche. La recepción la hicimos dentro del bar-pub situado debajo del B&B. La encargada nos dijo que sólo había una habitación, y en las condiciones en que estábamos aceptamos de buen gusto dormir bajo un techo. ||||El cuarto donde nos hospedamos no pasaba de tres metros cuadrados. Sólo cabían dos camas y un cuartito para la ducha y el aseo. Al abrir las camas, encontramos restos de pan, las sábanas sin estirar, pelos de distintas partes del cuerpo... El somier lo formaban cuatro tablas mal cortadas. No había espacio para armarios, sino que eran cuatro tablones repintados de blanco ""vestían"" la pared del fondo, al lado de unas cortinas que fueran lavadas por última vez el día de la reconquista; las perchas eran cuatro, viejas, de alambres a los que apenas quedaba la cubierta de plástico. Por no limpiar, había hasta pertenencias del anterior huésped sobre una de las baldas que hacían de armarios. La ducha de agua ""caliente""... consistía en un mecanismo adoptado en el mismo grifo, con los cables eléctricos parcheados y a la vista, y que hacía de termo ""portatil"" aunque apenas entibiaba el agua. ||||De haber llegado con tiempo, tras ver todo esto, hubiéramos desechado esta habitación, pero tal y como llegamos, tras horas de tensión y tormenta atravesando el Cerro de la Muerte , nos sentimos hasta contentos de poder dormir en una cama. ||||A la mañana siguiente, tras sacar la foto que adjunto (lo mejor, sin duda, la vista a la Basílica), atravesé el pasillo (la habitación en la que nos quedamos era la primera). Para nuestra sorpresa y enojo, había varias habitaciones con las puertas abiertas, sin clientes, con unas camas limpias, con colchas, espaciosas... Habíamos pagado cincuenta dolares por dormir en lo que parecía la habitación picadero para los clientes que en el fragor del baile querían desahogarse o dormir la borrachera. ||||Pasaban las siete y media y la encargada no aparecía para servir el desayuno. De hecho, no había nadie. Por conciencia y para evitar problemas, le dejamos los cincuenta dólares a pesar de darnos un nefasto servicio y no servirnos el supuesto ""copioso desayuno"" que señala la guía de Lonely Planet. ||||No sé si esta persona llegará a leer estas palabras, pero sí me gustaría que hiciera el Camino de Santiago para que se contagiara del espíritu de la ""hospitalidad"" o bien se viera en nuestras circunstancias y durmiera en un albergue purulento, que también los hay en el Camino, para que tomara consciencia de la mezquindad con que nos trató. Nada costaba hospedarnos en una de las habitaciones y cumplir con lo que se espera de un profesional. ||||En suma, si caen por este lugar, que no sea en fin de semana (hay baile con orquesta hasta medianoche) y exijan que les enseñe varias habitaciones. Y si tienen tiempo, pregunten a los lugareños. Luego nos enteramos de que hay varios B&B y hasta un hotel en la zona. ||||En un viaje de muy positivas experiencias en los lugares en los que nos quedamos y en la hospitalidad de los costarricenses, hemos creído necesario manifestar nuestra pesadilla en Costa Rica, que fue este, a mi entender, tugurio que empaña la utilidad que nos brindó la guía de Lonely Planet.",1.0,hotel,google_maps,Hace 12 años,Hotel Los Angeles Lodge,negativa
llegamos a cartago en medio de una tormenta después de intentar visitar el volcán irazu. Nos resguardamos en una pollería cerca del hotel y les preguntamos por alojamiento en cartago. Nos hablaron de que ahí cerca había uno y mi pareja se acercó a preguntar por el precio. La señora le dijo que eran 50 dólares la habitación y que sólo le quedaba una. Mentira¡! Como no hay alojamientos en cartago decidimos quedarnos pero no se lo recomiendo a nadie ya que el precio no corresponde con lo que ofrece¡!y lo peor de todo es que leyendo comentarios ahora me doy cuenta de que no somos los únicos timados ni seremos los únicos ¡!,1.0,hotel,google_maps,Hace 11 años,Hotel Los Angeles Lodge,negativa
"Hola! Quería tomarme un tiempo para agradecerles por todas las atenciones y servicios que recibimos tanto de su parte como de doña Roxana. Mi esposa y yo quedamos muy a gusto con todo pero sobre todo los chicos estaban muy contentos y les encantó no solo las atenciones sino el clima familiar del lugar. De verdad que estamos muy agradecidos y no descarto que volvamos a visitarlos en el futuro si Dios nos lo permite. Les deseamos lo mejor y espero que tanto Nuestro Señor como Su Madre, a quienes ustedes tienen tan cerquita les bendigan y les sigan prosperando en su negocio. Muchas muchas Gracias!!",5.0,hotel,google_maps,Hace una semana,Hotel Los Angeles Lodge,positiva
"Le voy a comentar un poco de nuestra experiencia Fuimos por una noche para pasarla en pareja, Y la verdad es que el lugar es bellísimo En realidad para eso es genial Vas tienes la cabaña jacuzzi, y la puedes pasar muy tranquilo, Por eso digo que es ideal para parejas. En nuestro caso que lo que queríamos era pasar una noche en pareja en un lugar diferente un poco más relajados y desconectados cumplió el objetivo. Ahora bien quiero mencionar varias cosas: Nosotros optamos por la cabaña para dos personas, tiene un jacuzzi afuera, qué nos pareció bien, pero nunca logramos que calentara lo suficiente Adicional a eso si ustedes van a esta cabaña específicamente para preparar alimentos es sumamente pequeño el espacio para hacerlo, lo ideal sería preparar algo muy rápido o incluso llevar solamente para calentar. Compramos el paquete para la leña y colocamos la chimenea cosa que estuvo espectacular Otro detalle importante la regadera no calienta lo suficiente entonces en nuestro caso casi que nos tuvimos que bañar con agua fría. Y otro detalle es que está cabaña específicamente las puertas no cierran completamente bien entonces, cerraba pero no tenía esa seguridad, sin embargo el lugar donde está es bastante seguro Y algo que no me gustó es que está cabaña específicamente la de dos personas tiene la vista a una pequeña plantación o sembradío que tienen ahí entonces como que le resta un poquitito de impacto a lo bonito que se podría ver el valle de Cartago. Otro detalle muy importante para nosotros es que también teníamos que estar disponibles para temas laborales y la conexión a internet no siempre era tan fluida por el lugar en el que nos encontrábamos, cosa que pensamos que no íbamos a subsanar con el tema del wi-fi pero no funcionaba entonces tuvimos que conectarnos a un wi-fi de la casa que está al lado que me parece que es de los dueños y la señal no era tan buena Otro tema importante en nuestro caso la televisión nunca funcionó porque no se conectaba estaba desconectada y el sistema que ellos manejaban tanto para Netflix y otras plataformas no funcionaba, eso es importante mencionarlo porque. Ahora bien en síntesis Me parece que el objetivo de nuestra salida en este alojamiento se cumplió Pero evidentemente sí se presentaron esas situaciones que para mí es importante mencionarles Por lo demás. La atención fue maravillosa La desconexión total El lugar muy seguro El lugar muy limpio El lugar muy tranquilo Entonces en general creo que sería una muy bonita opción para regresar",4.0,hotel,google_maps,Hace un mes,Hábitat Natural Hotel,positiva
"Lugar espectacular!!! La vista, la cabaña, los detalles y acabados, el servicio, los hosts, absolutamente todo es hermoso, bien cuidado, limpio y hecho con mucho amor. Gracias Elizabeth e hijo por recibirnos",5.0,hotel,google_maps,Hace 4 meses,Hábitat Natural Hotel,positiva
"Es un lugar hermoso para desconectarse de todo, con una vista al centro preciosa, instalaciones bellas y muy completas, la anfitriona muy amable siempre atenta a las necesidades de los huéspedes",5.0,hotel,google_maps,Hace 4 meses,Hábitat Natural Hotel,positiva
"Un lugar muy lindo para rejalarse, con vistas hermosas y cabañas muy acogedoras. Ubicación muy segura y cerca de bastantes restaurantes",5.0,hotel,google_maps,Hace 5 meses,Hábitat Natural Hotel,positiva
"Si van y no hay paños en la cabaña pidanlos, yo no lo hice porque no los llegué a necesitar (llevamos nuestro paño) y básicamente me trataron de ladrón, tuve que hacer una video llamada y mostrar que en el carro no llevaba ningún paño, al final ni se disculparon solamente colgaron la llamada, arruinaron la experiencia.",2.0,hotel,google_maps,Hace 7 meses,Hábitat Natural Hotel,negativa
"Estoy súper agradecida de lo bien que cuidaron a mi perrita, por sus reportes diarios con videos sobre ella y por haberme la ido a dejar a mi casa. El lugar es súper espacioso y tienen bastante campo para correr. No voy a dudar en volver a llevarla al hotel la próxima vez que sea necesario.",5.0,hotel,google_maps,Hace un año,Hábitat Natural Hotel,positiva
"Demasiado lindo el lugar, mucha paz , vista soñadas. Super recomendado",5.0,hotel,google_maps,Hace 7 meses,Hábitat Natural Hotel,positiva
"El lugar es hermoso, buena atención, muy limpio, amplias zonas verdes, definitivamente lo recomiendo 100% ...",5.0,hotel,google_maps,Hace un año,Hábitat Natural Hotel,positiva
Un lugar precioso para descansar y desconectar de la rutina,5.0,hotel,google_maps,Hace 10 meses,Hábitat Natural Hotel,positiva
El mejor lugar para dejar a mi perro! Súper recomendado!,5.0,hotel,google_maps,Hace 2 años,Hábitat Natural Hotel,positiva
"Recomendado para que dejen a los perritos! Los cuidan súper bien, exc atención y buenos precios!",5.0,hotel,google_maps,Hace 4 años,Hábitat Natural Hotel,positiva
Es un lugar muy hermoso y acogedor.,5.0,hotel,google_maps,Hace 3 años,Hábitat Natural Hotel,positiva
El Hotel de perros cero recomendado Fatal la atención de la muchacha de reservas Perreras sucias y pequeñas No lleven sus perros,1.0,hotel,google_maps,Hace 2 meses,Hábitat Natural Hotel,negativa
"La experiencia fue increíble. Tienen una piscina temperada en la cima de la montaña con una vista hermosa tanto a la naturaleza como a la ciudad. Nos hospedamos en uno de los domos geodésicos y fue algo diferente y muy especial. Además, el desayuno típico estuvo delicioso",5.0,hotel,google_maps,Hace 3 meses,Cerro Verde Lodge y Spa,positiva
"Perfecto para una escapada en pareja. Ofrecen paquetes de spa relajante que realmente valen la pena. Nos encantó la privacidad del lugar y las opciones de hospedaje, desde cabañas hasta domos. Todo está pensado para descansar y disfrutar del entorno natural con vistas espectaculares.",5.0,hotel,google_maps,Hace 3 meses,Cerro Verde Lodge y Spa,positiva
"Un lugar espectacular para desconectarse sin alejarse demasiado. Está súper cerca del centro de Cartago, pero al mismo tiempo es muy privado y rodeado de naturaleza. Las vistas a la montaña son increíbles y el ambiente con el canto de las aves es simplemente perfecto. Ideal para relajarse y respirar aire puro.",5.0,hotel,google_maps,Hace 3 meses,Cerro Verde Lodge y Spa,positiva
